arm,config,seed,requests,D,D0,D1,D2,D_unknown,D_expected_saveable
afs120,MSW_path_sf10_p70_S100_M0_Chain,0,496,128,0,35,89,4,112.38
afs120,MSW_path_sf10_p70_S100_M0_Chain,1,496,129,0,46,79,4,113.66
afs120,MSW_path_sf10_p70_S100_M0_Chain,2,496,134,0,46,84,4,117.7
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,0,496,135,0,73,54,8,116.59
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,1,496,153,0,78,67,8,132.93
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,2,496,136,0,76,52,8,117.32
afs120,MSW_path_sf10_p70_S100_MLow_Chain,0,495,127,0,64,59,4,112.91
afs120,MSW_path_sf10_p70_S100_MLow_Chain,1,495,142,0,77,61,4,126.68
afs120,MSW_path_sf10_p70_S100_MLow_Chain,2,495,129,0,68,57,4,114.75
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,0,496,142,0,67,71,4,126.5
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,1,496,128,0,63,61,4,113.83
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,2,496,139,0,70,65,4,123.93
afs120,MSW_path_sf10_p70_S25_M0_Chain,0,496,52,33,6,9,4,15.18
afs120,MSW_path_sf10_p70_S25_M0_Chain,1,496,55,33,6,12,4,17.57
afs120,MSW_path_sf10_p70_S25_M0_Chain,2,496,54,33,6,10,5,16.1
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,0,496,119,5,66,38,10,93.23
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,1,496,102,7,66,20,9,77.81
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,2,496,86,6,50,22,8,65.41
afs120,MSW_path_sf10_p70_S25_MLow_Chain,0,495,90,5,63,15,7,70.64
afs120,MSW_path_sf10_p70_S25_MLow_Chain,1,495,99,4,62,25,8,78.07
afs120,MSW_path_sf10_p70_S25_MLow_Chain,2,495,92,4,60,20,8,71.28
afs120,MSW_path_sf10_p70_S25_MMedium_Chain,0,496,116,2,78,28,8,93.32
