arm,config,seed,sat,sent,acc
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,0,380,496,76.6129
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,1,370,496,74.5968
cwfree120,MSW_path_sf10_p70_S100_M0_Chain,2,374,496,75.4032
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,0,383,496,77.2177
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,1,359,496,72.379
cwfree120,MSW_path_sf10_p70_S100_MHigh_Chain,2,367,496,73.9919
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,0,369,495,74.5455
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,1,368,495,74.3434
cwfree120,MSW_path_sf10_p70_S100_MLow_Chain,2,383,495,77.3737
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,0,369,496,74.3952
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,1,369,496,74.3952
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,2,358,496,72.1774
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,0,119,496,23.9919
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,1,120,496,24.1935
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,2,130,496,26.2097
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,0,166,496,33.4677
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,1,156,496,31.4516
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,2,152,496,30.6452
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,0,129,495,26.0606
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,1,125,495,25.2525
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,2,123,495,24.8485
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,0,118,496,23.7903
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,1,129,496,26.0081
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,2,120,496,24.1935
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,0,296,496,59.6774
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,1,306,496,61.6935
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,2,313,496,63.1048
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,0,295,496,59.4758
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,1,285,496,57.4597
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,2,289,496,58.2661
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,0,300,495,60.6061
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,1,317,495,64.0404
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,2,293,495,59.1919
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,0,275,496,55.4435
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,1,297,496,59.879
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,2,276,496,55.6452
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,0,314,496,63.3065
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,1,317,496,63.9113
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,2,325,496,65.5242
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,0,317,496,63.9113
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,1,324,496,65.3226
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,2,338,496,68.1452
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,0,335,495,67.6768
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,1,336,495,67.8788
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,2,316,495,63.8384
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,0,312,496,62.9032
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,1,314,496,63.3065
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,2,312,496,62.9032
cwseed,MSW_path_sf10_p70_S100_M0_Chain,0,381,496,76.8145
cwseed,MSW_path_sf10_p70_S100_M0_Chain,1,374,496,75.4032
cwseed,MSW_path_sf10_p70_S100_M0_Chain,2,377,496,76.0081
cwseed,MSW_path_sf10_p70_S100_MHigh_Chain,0,387,496,78.0242
cwseed,MSW_path_sf10_p70_S100_MHigh_Chain,1,378,496,76.2097
cwseed,MSW_path_sf10_p70_S100_MHigh_Chain,2,394,496,79.4355
cwseed,MSW_path_sf10_p70_S100_MLow_Chain,0,385,495,77.7778
cwseed,MSW_path_sf10_p70_S100_MLow_Chain,1,377,495,76.1616
cwseed,MSW_path_sf10_p70_S100_MLow_Chain,2,385,495,77.7778
cwseed,MSW_path_sf10_p70_S100_MMedium_Chain,0,387,496,78.0242
cwseed,MSW_path_sf10_p70_S100_MMedium_Chain,1,388,496,78.2258
cwseed,MSW_path_sf10_p70_S100_MMedium_Chain,2,373,496,75.2016
cwseed,MSW_path_sf10_p70_S25_M0_Chain,0,117,496,23.5887
cwseed,MSW_path_sf10_p70_S25_M0_Chain,1,121,496,24.3952
cwseed,MSW_path_sf10_p70_S25_M0_Chain,2,125,496,25.2016
cwseed,MSW_path_sf10_p70_S25_MHigh_Chain,0,159,496,32.0565
cwseed,MSW_path_sf10_p70_S25_MHigh_Chain,1,157,496,31.6532
cwseed,MSW_path_sf10_p70_S25_MHigh_Chain,2,146,496,29.4355
cwseed,MSW_path_sf10_p70_S25_MLow_Chain,0,131,495,26.4646
cwseed,MSW_path_sf10_p70_S25_MLow_Chain,1,142,495,28.6869
cwseed,MSW_path_sf10_p70_S25_MLow_Chain,2,128,495,25.8586
cwseed,MSW_path_sf10_p70_S25_MMedium_Chain,0,129,496,26.0081
cwseed,MSW_path_sf10_p70_S25_MMedium_Chain,1,137,496,27.621
cwseed,MSW_path_sf10_p70_S25_MMedium_Chain,2,129,496,26.0081
cwseed,MSW_path_sf10_p70_S50_M0_Chain,0,298,496,60.0806
cwseed,MSW_path_sf10_p70_S50_M0_Chain,1,306,496,61.6935
cwseed,MSW_path_sf10_p70_S50_M0_Chain,2,302,496,60.8871
cwseed,MSW_path_sf10_p70_S50_MHigh_Chain,0,287,496,57.8629
cwseed,MSW_path_sf10_p70_S50_MHigh_Chain,1,276,496,55.6452
cwseed,MSW_path_sf10_p70_S50_MHigh_Chain,2,295,496,59.4758
cwseed,MSW_path_sf10_p70_S50_MLow_Chain,0,324,495,65.4545
cwseed,MSW_path_sf10_p70_S50_MLow_Chain,1,287,495,57.9798
cwseed,MSW_path_sf10_p70_S50_MLow_Chain,2,281,495,56.7677
cwseed,MSW_path_sf10_p70_S50_MMedium_Chain,0,289,496,58.2661
cwseed,MSW_path_sf10_p70_S50_MMedium_Chain,1,279,496,56.25
cwseed,MSW_path_sf10_p70_S50_MMedium_Chain,2,259,496,52.2177
