arm,config,seed,requests,planned_in_log,log_coverage,S,S_pct,L,L_pct,X,X_pct,R,R_pct,D,D_pct,U,U_pct
afs120,MSW_path_sf10_p70_S100_M0_Chain,0,496,495,0.998,359,72.379,0,0.0,0,0.0,7,1.411,129,26.008,1,0.202
afs120,MSW_path_sf10_p70_S100_M0_Chain,1,496,495,0.998,359,72.379,0,0.0,0,0.0,3,0.605,133,26.815,1,0.202
afs120,MSW_path_sf10_p70_S100_M0_Chain,2,496,495,0.998,363,73.185,0,0.0,0,0.0,5,1.008,127,25.605,1,0.202
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,0,496,495,0.998,355,71.573,0,0.0,1,0.202,1,0.202,138,27.823,1,0.202
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,1,496,495,0.998,353,71.169,0,0.0,1,0.202,3,0.605,138,27.823,1,0.202
afs120,MSW_path_sf10_p70_S100_MHigh_Chain,2,496,495,0.998,366,73.79,0,0.0,0,0.0,2,0.403,127,25.605,1,0.202
afs120,MSW_path_sf10_p70_S100_MLow_Chain,0,495,495,1.0,356,71.919,1,0.202,2,0.404,5,1.01,131,26.465,0,0.0
afs120,MSW_path_sf10_p70_S100_MLow_Chain,1,495,495,1.0,360,72.727,0,0.0,0,0.0,3,0.606,132,26.667,0,0.0
afs120,MSW_path_sf10_p70_S100_MLow_Chain,2,495,495,1.0,371,74.949,0,0.0,0,0.0,6,1.212,118,23.838,0,0.0
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,0,496,495,0.998,340,68.548,0,0.0,1,0.202,5,1.008,149,30.04,1,0.202
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,1,496,495,0.998,359,72.379,2,0.403,0,0.0,5,1.008,129,26.008,1,0.202
afs120,MSW_path_sf10_p70_S100_MMedium_Chain,2,496,495,0.998,348,70.161,1,0.202,1,0.202,3,0.605,142,28.629,1,0.202
afs120,MSW_path_sf10_p70_S25_M0_Chain,0,496,0,0.0,87,17.54,0,0.0,0,0.0,140,28.226,0,0.0,269,54.234
afs120,MSW_path_sf10_p70_S25_M0_Chain,1,496,281,0.5665,89,17.944,0,0.0,0,0.0,136,27.419,56,11.29,215,43.347
afs120,MSW_path_sf10_p70_S25_M0_Chain,2,496,284,0.5726,89,17.944,0,0.0,0,0.0,139,28.024,56,11.29,212,42.742
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,0,496,465,0.9375,174,35.081,2,0.403,6,1.21,173,34.879,110,22.177,31,6.25
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,1,496,465,0.9375,158,31.855,6,1.21,8,1.613,173,34.879,120,24.194,31,6.25
afs120,MSW_path_sf10_p70_S25_MHigh_Chain,2,496,465,0.9375,158,31.855,4,0.806,4,0.806,195,39.315,104,20.968,31,6.25
afs120,MSW_path_sf10_p70_S25_MLow_Chain,0,495,424,0.8566,135,27.273,1,0.202,5,1.01,195,39.394,88,17.778,71,14.343
afs120,MSW_path_sf10_p70_S25_MLow_Chain,1,495,426,0.8606,118,23.838,2,0.404,7,1.414,202,40.808,97,19.596,69,13.939
afs120,MSW_path_sf10_p70_S25_MLow_Chain,2,495,426,0.8606,108,21.818,0,0.0,14,2.828,213,43.03,91,18.384,69,13.939
afs120,MSW_path_sf10_p70_S25_MMedium_Chain,0,496,433,0.873,139,28.024,0,0.0,6,1.21,178,35.887,112,22.581,61,12.298
afs120,MSW_path_sf10_p70_S25_MMedium_Chain,1,496,433,0.873,131,26.411,0,0.0,7,1.411,188,37.903,108,21.774,62,12.5
afs120,MSW_path_sf10_p70_S25_MMedium_Chain,2,496,437,0.881,114,22.984,0,0.0,17,3.427,199,40.121,107,21.573,59,11.895
afs120,MSW_path_sf10_p70_S50_M0_Chain,0,496,495,0.998,293,59.073,0,0.0,0,0.0,79,15.927,123,24.798,1,0.202
afs120,MSW_path_sf10_p70_S50_M0_Chain,1,496,495,0.998,290,58.468,4,0.806,0,0.0,88,17.742,113,22.782,1,0.202
afs120,MSW_path_sf10_p70_S50_M0_Chain,2,496,495,0.998,286,57.661,1,0.202,0,0.0,98,19.758,110,22.177,1,0.202
afs120,MSW_path_sf10_p70_S50_MHigh_Chain,0,496,495,0.998,289,58.266,5,1.008,3,0.605,51,10.282,147,29.637,1,0.202
afs120,MSW_path_sf10_p70_S50_MHigh_Chain,1,496,495,0.998,266,53.629,6,1.21,8,1.613,60,12.097,155,31.25,1,0.202
afs120,MSW_path_sf10_p70_S50_MHigh_Chain,2,496,495,0.998,274,55.242,12,2.419,9,1.815,49,9.879,151,30.444,1,0.202
afs120,MSW_path_sf10_p70_S50_MLow_Chain,0,495,495,1.0,275,55.556,2,0.404,3,0.606,65,13.131,150,30.303,0,0.0
afs120,MSW_path_sf10_p70_S50_MLow_Chain,1,495,495,1.0,288,58.182,2,0.404,7,1.414,67,13.535,131,26.465,0,0.0
afs120,MSW_path_sf10_p70_S50_MLow_Chain,2,495,495,1.0,255,51.515,8,1.616,1,0.202,83,16.768,148,29.899,0,0.0
afs120,MSW_path_sf10_p70_S50_MMedium_Chain,0,496,491,0.9899,286,57.661,3,0.605,1,0.202,61,12.298,140,28.226,5,1.008
afs120,MSW_path_sf10_p70_S50_MMedium_Chain,1,496,489,0.9859,266,53.629,0,0.0,8,1.613,68,13.71,147,29.637,7,1.411
afs120,MSW_path_sf10_p70_S50_MMedium_Chain,2,496,489,0.9859,260,52.419,5,1.008,3,0.605,69,13.911,152,30.645,7,1.411
